id2,prod_id1,prod_id2,brand,groupname,title,price,shelfdescr,shortdescr,longdescr,imageurl,modelno,shipweight,length,width,height
20,14929239,8869862919,HP,Stationery &amp; Office Machinery,HP 80 Ink Printhead Printhead Cleaner Black C4890A,268.79,Print cartridge printhead and printhead cleaner Printing technology inkjet,The HP 80 Ink Printhead Printhead Cleaner is the perfect choice for users who produce precise black-and-color line drawings or high-quality color renderings maps and graphics. It features a built-in smart chip for outstanding print quality without guesswork. The HP 80 Ink Printhead Printhead Cleaner is HP-engineered to work together as part of a modular ink system.,HP 80 Ink Printhead Printhead Cleaner Print cartridge printhead and printhead cleaner Available in black cyan magenta and yellow Printing technology inkjet For use with HP Designjet 1050C and 1055CM printers Yields up to 4400 pages,http://i.walmartimages.com/i/p/00/08/86/98/62/0008869862919_300X300.jpg,C4890A,1.79,,,
21,14931817,4310006622,Mead,Stationery &amp; Office Machinery,Mead Spiral Bound Notebook College Rule,3.88,3-hole punched College rule Sheet size 8  Available in 100 120 or 180 sheets per pad,Stay organized with with this Spiral Bound Notebook from Mead. This notebook is perfect for keeping notes for class work or personal projects.,Mead Spiral Bound Notebook 3-hole punched College rule Sheet size 8  100 sheets pad Assorted color covers,http://i.walmartimages.com/i/p/00/04/31/00/06/0004310006622_300X300.jpg,6622,0.837,,,
22,15029113,88131700513,IOGEAR,Networking,IOGEAR 2-Port MiniView Micro USB PLUS KVM Switch,37.57,6 molded-in cables simplify setup Full support for Mac and Sun systems USB sniffing technology for error-free boot-up,Introducing the 2-port MiniView Micro USB PLUS KVM switch from IOGEAR is the simplest way to simultaneously run and share audio between two computers with a single USB keyboard monitor and USB mouse. This self-powered KVM switch features the unique USB sniffing technology for USB mouse and keyboard emulation to ensure smooth operation as well as support for plug and play monitors and most wheel mice. Our patented Video Signal Enhancement technology provides rich 32-bit color at resolutions up to 2048 x 1536. Another big plus is the MiniView s capability to provide audio support it allows you to share your multimedia speakers between the two connected computers. When using a PC keyboard a special set of hot keys is designed to emulate the special keys on Mac and Sun machines. With 6 long KVM cables molded into the MiniView Micro USB Plus all you need to do is to plug it into your computers and you ve got a complete KVM solution from IOGEAR.,IOGEAR 2-Port MiniView Micro USB PLUS KVM Switch 2 x USB ports 6 molded-in cables simplify setup Full support for Mac and Sun systems Port selection through hot keys USB sniffing technology for error-free boot-up Plug and play monitor support Built-in AutoScan mode,http://i.walmartimages.com/i/p/00/88/13/17/00/0088131700513_300X300.jpg,GCS632UW6,1.15,10,7,3
23,15118120,3413802305,Quartet,Stationery &amp; Office Machinery,Quartet Cork Bulletin Board Natural Cork Fiberboard 60 x 36 Aluminum Frame,91.44,Self-healing cork surface Perfect for school home or office use Includes mounting hardware,The Quartet Cork Bulletin Board is an affordable and dependable solution for display and posting information. The self-healing cork surface prevents pin marks and holes.,Quartet Cork Bulletin Board Self-healing cork Durable frame with heavy-duty mounting system Perfect for school home or office use,http://i.walmartimages.com/i/p/00/03/41/38/02/0003413802305_300X300.jpg,2305,16.16,,,
24,15140580,7278206878,Avery,Stationery &amp; Office Machinery,Avery Shipping Labels for Color Laser   Copier 3-3 4 x 4-3 4 Matte White 100 Pack,16.67,Matte white mailing labels Guaranteed printer performance in HP Canon Epson and other popular printers Set of 300 labels,Create labels that get noticed These labels are ideal for mailings messages invitations and announcements. Don t let the small areas of life elude your personality make labels that speak to your creativity.,Avery Shipping Labels for Color Laser and Copier Matte White 300 Set Matte white mailing labels Provide vivid color and sharp text for brilliant high-resolution color images Guaranteed printer performance in HP Canon Epson and other popular printers Set of 300 labels,http://i.walmartimages.com/i/p/00/07/27/82/06/0007278206878_300X300.jpg,,,,,
25,15379706,81265801087,Aluratek,MP3 Accessories,Aluratek Deluxe Leather Travel Case for the Libre eBook Reader Pro,23.1,Premium quality hand-stitched leather Held securely with outside magnetic clasp Lightweight and compact for easy travel Sturdy and stylish black leather exterior,Aluratek s deluxe leather travel case is designed exclusively for the Libre eBook Reader Pro. This unique leather case lets you carry your Libre Pro in style.,Aluratek Deluxe Leather Travel Case for the LIBRE eBook Reader Pro Premium quality hand-stitched leather Held securely with outside magnetic clasp Securely holds the eBook reader in place with flexible straps on top and bottom Lightweight and compact for easy travel Sturdy and stylish black leather exterior protects the Libre Soft suede interior protects screen from scratches Built-in pockets in inside flap Compatible With Aluratek Libre Pro,http://i.walmartimages.com/i/p/00/81/26/58/01/0081265801087_300X300.jpg,2782753,0.5,6.25,4.75,1
26,15412328,88442058870,HP,Printers,HP CE278A Black LaserJet Print Cartridge,69.84,1 print cartridge Color black Printing technology LaserJet,Get a great value for everyday business printing with HP LaserJet Print Cartridges. These print cartridges will save you time minimize downtime and deliver results you can count on. Produce bold crisp text and sharp black-and-white images every time you print. This easy-to-use HP LaserJet print cartridge is designed for trouble-free printing and convenient free recycling through the HP Planet Partners program.,HP CE278A Black LaserJet Print Cartridge 1 print cartridge Color black Printing technology LaserJet Compatibility PC Page yield about 2100 standard pages,http://i.walmartimages.com/i/p/00/88/44/20/58/0088442058870_300X300.jpg,HP CE278A,1.8,1,1,1
27,15421408,64953260962,CyberPower,Electronics - General,Cyber Power PFC 1000VA LCD Sinewave Adaptive Intelligent UPS,151,Intelligent LCD diagnostic display Automatic voltage regulation Reduced energy costs and reduced heat,Protect your computer system or network from power interruptions with the Sinewave Adaptive Intelligent UPS. This uninterruptible power supply safeguards mid to high-end computer systems that use conventional and active power factor correction power supplies. The Sinewave Adaptive Intelligent UPS uses an automatic voltage regulation topology to deliver clean and consistent AC power to protect equipment in case of power interruptions.,Cyber Power PFC 1000VA LCD Sinewave Adaptive Intelligent UPS Intelligent LCD diagnostic display Automatic voltage regulation Reduced energy costs and reduced heat Ultra-quiet Tamper-proof power button USB connectivity EMI RFI filters Audible alarms,http://i.walmartimages.com/i/p/00/64/95/32/60/0064953260962_300X300.jpg,CP1000PFCLCD,19.15,13.5,11.2,6.3
28,15571931,84593302868,Tribeca,Electronics - General,Tribeca Dallas Cowboys 15  Sleeve for MacBook Pros,31.88,Fits MacBook Pros and 15  laptops Shock absorbing neoprene Front storage pocket,Tribeca s Dallas Cowboys Sleeve fits MacBook Pros and other 15  laptops. Protect your laptop and show your team spirit with this neoprene sleeve.,Tribeca Dallas Cowboys 15  laptops Shock absorbing neoprene Front storage pockets Team Dallas Cowboys,http://i.walmartimages.com/i/p/00/84/59/33/02/0084593302868_300X300.jpg,FVA2868,0.85,15.88,12.6,1.13
29,15686587,7721806627,,House wares,Tablemate Plastic Dinnerware 6 Inch Plates 125pk,18.97,,,6 inch White Disposable dinnerware Sturdy,http://i.walmartimages.com/i/p/00/07/72/18/06/0007721806627_300X300.jpg,6644WH,1.859,6,6,5.7
30,15751827,84476701248,Vantec,Electronics - General,Vantec NexStar MX Dual 3.5  SATA Hard Drive Enclosure,49.71,Supports dual SATA I II hard drives Front ventilation and rear fan Stylish aluminum case,The Vantec NexStar MX Dual 3.5  SATA Hard Drive Enclosure is a quick and simple way to expand storage capacity to your computer. It comes without the hassle of diving inside the PC and messing with all those wires cables and connections. It provides maximum storage with the increased capacity of two spanning hard drives for your precious family photos music video and games.,Vantec NexStar MX Dual 3.5  SATA Hard Drive Enclosure Supports dual SATA I II hard drives up to 2.0TB of storage Supports 4 different configuration modes JBOD INDIVIDUAL RAID 0 and RAID 1 USB 2.0 interface allows you to transfer data up to 480Mbps eSATA interface allows you to transfer data up to 3Gbps Front ventilation and rear fan provide better air circulation and cooling Stylish aluminum case to draw away the heat ArcSoft Totalmedia Backup software,http://i.walmartimages.com/i/p/00/84/47/67/01/0084476701248_300X300.jpg,NST-400MX-S2,5,10,7,6
